이름,몸무게,키
파카,91,144,
자차,104,192,
아차,86,150,
차타,91,164,
아바,33,176,
카하,43,152,
바라,52,174,
가가,113,166,
자아,103,156,
하다,82,180,
나카,63,170,
나나,63,196,
나라,42,190,
하바,93,174,
파바,50,184,
하아,65,176,
바사,61,162,
아자,92,152,
자카,75,180,
바바,108,146,
아나,36,164,
아파,108,146,
나타,47,178,
아사,93,156,
파나,118,196,
라바,102,196,
다타,68,190,
차타,73,188,
아자,111,196,
아아,88,150,
라아,119,186,
하사,64,158,
차차,105,184,
파가,118,184,
파라,59,144,
다카,55,162,
카타,34,176,
차가,81,176,
하나,84,198,
파라,33,158,
사바,71,184,
가차,56,180,
하다,96,162,
다나,56,140,
카라,36,188,
다파,87,166,
아바,68,172,
카다,46,160,
파나,91,182,
하바,98,184,
가카,58,156,
사아,84,162,
나아,39,184,
하바,32,160,
아가,101,186,
자자,69,176,
아바,68,148,
가라,77,180,
차사,98,172,
파하,34,196,
아사,42,194,
파아,99,158,
차카,77,152,
바카,45,180,
다다,87,196,
나아,105,172,
바라,63,160,
아바,80,146,
파라,89,196,
가가,63,194,
바다,101,140,
하나,101,160,
아타,99,188,
바자,32,170,
가자,56,148,
아바,113,156,
카타,112,170,
차차,119,184,
아차,50,176,
나차,59,188,
자라,87,170,
나하,98,184,
차사,40,196,
가라,116,142,
카라,80,140,
다자,61,172,
자파,74,162,
바바,112,162,
나라,93,156,
가아,36,156,
카하,93,192,
다카,36,174,
가하,104,176,
타아,83,190,
하파,71,190,
바가,81,178,
나바,70,184,
사라,39,198,
다파,63,168,
라타,40,162,
타가,62,182,
사나,42,178,
다바,50,198,
카라,113,188,
하바,41,162,
타카,65,162,
사바,84,188,
나카,33,156,
아타,62,160,
하타,77,178,
하라,40,196,
나나,116,154,
차다,72,180,
타타,118,160,
파하,39,172,
사자,108,196,
아파,71,158,
바가,94,190,
사아,75,186,
아파,102,168,
바자,31,172,
파파,61,158,
타아,85,152,
나다,104,146,
타사,44,162,
자가,99,180,
라아,83,170,
다사,78,190,
바나,103,154,
라아,45,146,
차사,117,154,
자바,72,170,
자라,59,174,
차다,54,190,
아아,59,198,
바아,78,172,
가파,104,162,
라파,56,178,
자자,60,142,
타아,44,192,
카파,87,160,
나바,66,142,
바사,103,150,
바나,39,178,
차라,86,168,
자자,40,144,
차파,58,162,
자파,33,180,
가라,104,154,
사다,102,194,
다사,119,150,
차파,92,190,
바나,75,166,
라사,31,194,
타카,111,152,
하나,40,174,
하파,34,166,
카타,56,166,
가하,85,154,
아라,39,152,
가아,118,190,
카카,83,156,
사라,92,162,
아다,73,170,
바파,36,154,
바카,115,164,
바하,105,184,
자자,68,146,
차아,44,140,
다하,68,172,
바사,44,172,
차바,99,168,
자카,81,170,
바바,38,186,
가카,31,174,
자하,62,148,
나타,119,176,
아아,92,160,
바다,30,194,
아타,66,170,
다자,49,192,
다파,53,140,
하파,117,184,
아카,54,144,
차사,112,156,
바가,96,170,
하가,76,192,
나바,119,150,
아가,48,170,
차타,85,150,
자가,65,174,
나하,66,154,
카타,85,160,
파하,90,152,
나가,71,160,
타차,31,140,
사자,93,144,
파사,107,154,
라바,103,176,
바차,59,174,
바다,93,190,
나파,58,198,
하사,113,190,
바자,119,194,
하바,95,162,
나가,73,140,
사나,90,170,
아바,65,146,
하차,77,140,
바다,53,144,
사라,91,172,
바카,51,190,
파아,49,168,
자사,55,198,
타나,112,152,
자가,102,156,
카사,46,164,
아카,98,142,
차차,107,170,
하카,106,186,
다가,81,168,
가바,95,154,
가가,38,162,
가바,78,196,
하다,67,154,
카파,51,182,
사사,88,156,
자하,89,180,
바가,109,142,
바바,44,164,
차가,40,174,
다나,68,192,
타카,100,194,
파다,42,146,
가차,61,156,
다하,74,150,
라아,67,148,
하사,36,194,
다타,76,150,
아나,41,150,
차아,86,144,
하나,83,164,
라타,54,186,
파카,46,194,
나나,107,154,
파가,50,152,
자하,119,166,
하나,32,152,
파다,99,166,
카나,58,154,
차파,50,144,
카아,90,144,
다가,97,146,
라바,65,174,
나자,42,198,
차아,87,176,
다파,84,172,
가사,67,188,
자바,92,188,
아사,70,180,
사사,116,140,
나파,50,182,
나바,46,182,
가아,54,150,
아다,107,146,
라아,100,156,
자카,99,174,
가파,56,178,
사자,59,192,
다사,52,180,
아바,61,198,
자바,42,152,
자다,86,186,
차다,61,158,
사가,36,180,
자차,64,156,
다차,96,146,
파자,45,176,
아나,35,164,
가다,41,148,
하바,103,172,
라나,101,192,
타라,71,180,
카라,83,156,
사자,53,196,
카나,80,178,
라카,82,142,
라라,60,140,
라라,73,152,
다라,102,154,
카바,40,164,
아다,79,156,
바라,30,180,
나나,68,194,
파아,48,158,
타파,73,148,
바사,68,190,
바나,77,170,
하바,64,158,
타다,100,148,
카차,36,150,
나바,106,186,
카사,78,184,
하파,39,144,
바차,76,186,
다사,91,154,
사가,63,176,
자다,42,194,
파가,50,142,
바라,113,174,
사자,86,190,
자카,80,198,
가하,37,174,
아파,115,162,
가타,63,142,
타가,74,174,
차차,44,180,
바타,40,140,
하자,38,150,
바자,46,180,
파사,62,174,
사타,83,178,
바파,62,150,
다자,66,176,
카카,46,188,
아다,62,188,
파타,86,142,
라차,47,198,
아바,89,182,
가차,86,140,
타파,54,152,
가카,104,148,
바타,90,156,
자차,32,170,
사바,74,186,
카차,43,196,
파바,82,164,
파사,71,166,
아라,35,158,
라타,86,144,
다사,80,164,
다타,97,168,
사나,45,192,
사바,64,148,
다아,46,194,
바타,77,166,
아바,86,166,
가나,102,170,
아나,79,164,
파자,73,188,
파나,97,144,
타바,34,158,
바하,67,156,
파바,115,180,
하바,39,160,
차파,33,148,
차바,68,176,
바자,102,168,
하나,47,160,
타바,103,142,
카하,50,142,
하사,95,158,
차타,85,154,
가라,104,196,
타바,46,178,
가나,114,166,
라파,76,196,
카하,93,166,
가파,35,144,
카아,56,184,
다타,93,154,
바자,34,162,
차파,103,172,
바카,109,152,
사카,98,170,
타바,101,140,
다타,85,164,
라아,55,196,
차자,47,188,
나바,113,184,
다하,62,186,
가다,45,190,
하라,116,188,
가카,103,156,
사자,30,176,
파나,41,194,
라하,109,148,
차라,70,176,
하가,66,194,
자나,111,158,
자파,47,156,
차바,49,156,
라다,59,186,
타바,89,172,
카자,66,194,
아나,41,174,
사차,91,198,
라바,102,186,
바가,104,190,
타타,92,164,
바가,108,184,
자사,46,152,
차하,113,190,
가자,110,164,
바아,59,140,
타하,109,156,
바타,58,198,
파사,88,140,
차아,66,142,
바라,73,164,
자파,113,140,
바카,111,188,
나아,99,176,
차다,48,154,
타가,58,182,
차바,72,198,
차라,87,196,
아나,62,166,
파다,80,168,
카다,54,156,
타바,106,176,
차사,86,150,
가라,39,186,
바나,72,162,
자차,53,146,
라바,39,194,
바타,70,150,
다바,59,166,
나카,116,172,
타타,37,140,
라다,51,194,
자차,82,184,
차하,45,166,
아파,57,158,
하아,31,196,
라사,64,170,
카바,39,174,
하가,118,184,
파아,109,176,
자차,100,190,
자차,68,196,
라하,117,166,
하라,118,168,
타파,78,156,
사자,117,164,
다가,56,192,
카다,89,156,
자차,111,196,
다다,39,184,
타바,54,172,
라파,115,176,
사카,70,186,
바사,43,182,
사하,77,188,
다카,53,148,
사라,116,158,
가자,64,146,
사하,78,152,
가차,75,180,
파차,109,146,
하사,98,196,
파바,83,160,
가바,76,164,
바아,75,164,
나나,67,140,
바나,47,196,
카사,39,192,
타타,83,188,
자가,73,142,
바라,67,146,
아다,80,152,
다하,71,198,
나차,79,162,
라카,61,176,
자파,81,166,
나타,77,164,
아바,58,144,
아사,86,150,
아타,69,158,
가파,37,150,
나카,37,186,
파파,42,190,
차차,108,186,
바가,53,168,
하라,68,142,
사아,100,150,
카사,117,194,
아바,77,162,
가차,86,156,
파바,67,170,
파사,73,168,
파카,101,146,
사하,30,146,
바사,95,176,
나파,101,180,
바타,55,160,
아자,82,154,
가라,47,198,
카자,75,192,
하나,42,160,
바다,89,196,
차나,79,194,
아가,30,168,
사바,64,184,
다타,85,182,
차차,113,154,
사사,45,152,
자바,63,162,
파나,118,150,
나파,44,154,
라자,72,186,
라파,116,198,
사차,80,194,
차라,38,180,
바차,88,176,
자차,60,176,
파다,64,196,
다다,107,188,
라나,40,146,
타다,39,144,
카타,84,196,
하자,46,142,
바자,87,190,
라다,35,148,
타사,79,192,
가파,63,174,
자아,94,156,
가카,93,176,
하카,38,174,
차하,79,192,
파아,52,198,
나라,82,146,
파다,56,146,
타아,109,162,
카바,68,162,
가카,104,160,
바나,30,178,
차라,91,140,
자바,61,174,
라타,117,168,
바나,48,168,
바바,42,166,
바파,50,142,
바나,73,162,
나하,113,184,
나바,118,182,
파타,60,196,
바다,117,170,
자라,64,192,
사하,68,194,
바카,82,144,
차타,39,160,
카타,97,154,
아자,30,150,
자카,55,166,
바사,40,144,
사나,45,142,
파차,45,170,
나자,54,196,
다아,91,186,
카라,63,172,
타사,77,184,
다바,78,170,
카타,47,162,
자아,117,170,
사카,68,196,
자라,66,176,
라다,90,186,
파나,115,144,
차바,89,170,
하아,70,168,
아나,86,144,
가나,86,186,
자바,50,174,
타가,31,154,
사바,58,186,
바다,93,156,
가자,34,164,
차카,117,148,
차가,98,160,
자타,96,162,
아나,118,140,
하타,99,164,
아아,78,156,
자파,97,162,
아하,36,158,
바사,99,166,
바사,110,164,
바파,81,192,
바파,37,150,
파바,106,172,
다카,118,182,
라라,101,146,
타사,54,154,
사사,115,142,
사타,102,162,
바바,91,154,
타아,82,176,
카가,116,176,
카바,38,164,
파차,92,174,
아다,49,182,
하사,52,180,
차하,83,140,
차가,104,146,
하라,96,158,
하라,32,140,
다아,92,154,
아가,67,172,
다카,35,150,
하다,68,170,
가차,37,164,
자아,119,194,
하바,119,186,
자사,98,168,
타파,119,188,
바아,50,156,
바카,35,178,
사사,34,198,
사다,58,174,
자자,87,182,
차나,73,140,
바차,53,148,
나다,31,140,
다바,106,168,
카아,50,180,
타다,63,188,
라아,43,198,
카하,96,164,
카바,99,180,
나나,66,178,
하바,44,172,
사라,116,172,
하파,73,182,
바바,47,170,
라바,56,196,
나타,80,172,
사하,102,188,
자다,95,178,
파바,48,142,
카사,31,184,
차자,57,180,
바차,73,150,
라바,38,158,
라바,87,160,
타하,87,192,
차라,78,142,
하라,108,150,
라다,117,196,
바가,30,198,
카타,113,182,
타사,110,178,
바자,43,178,
카라,97,160,
타아,60,158,
바카,60,160,
파라,44,182,
사바,107,176,
차사,80,150,
자차,98,174,
다라,98,150,
나바,98,168,
아하,96,184,
가카,65,162,
타바,116,142,
카다,41,184,
아나,109,152,
라자,77,194,
아사,77,180,
카자,97,182,
자바,107,198,
라라,56,174,
나나,118,168,
가가,78,154,
카바,97,160,
파바,57,152,
타타,112,184,
다나,35,170,
다바,44,152,
다사,61,174,
아타,45,180,
바바,35,150,
가자,79,194,
사파,32,154,
바파,33,152,
다다,51,186,
나자,57,156,
자파,92,164,
라자,108,146,
나바,34,174,
다타,83,198,
다바,59,166,
사차,106,160,
바바,47,180,
라카,106,182,
파타,106,142,
차사,40,144,
다차,100,180,
나아,96,142,
바하,105,160,
타사,75,184,
나다,35,180,
차타,51,166,
차다,62,154,
